gene_id	gene_name	SRX13037862	SRX13037863	SRX13037864	SRX13037865	SRX13037866	SRX13037867	SRX13037868	SRX13037869	SRX13037870	SRX13037871
LOC111099029	LOC111099029	0	8.984	1.639	0	2.762	2.715	3.876	11.711	7.269	3.966
LOC111099030	LOC111099030	0	0	1	0	0	1	0	0	0	1.088
LOC111099031	LOC111099031	0	0	0	0	0	0	0	1	0	0
LOC111099032	LOC111099032	0	0	0	0	0	0	0	0	2	0
LOC111099033	LOC111099033	29.89	27.541	36.679	7.915	39.218	37.414	62.993	99.004	119.855	142.013
LOC111099034	LOC111099034	0	1	0	0	0	34.084	36.066	11.877	3.67	10.068
LOC111099035	LOC111099035	9	12	10	8	5	43.302	93.999	60.912	78.189	144.934
LOC111099036	LOC111099036	1.359	0	2.196	1	0	69.487	109.948	146.063	146.343	170.901
LOC111099037	LOC111099037	0	0	0	1	0	0	0	1	0	0
LOC111099038	LOC111099038	0	0	0	0	0	0	0	3	0	1
LOC111099039	LOC111099039	0	0	0	0	0	12	4	8	16.709	17.989
LOC111099040	LOC111099040	15	11	11	5	13	2188.001	3025.001	3154.999	3403.001	2345.999
LOC111099041	LOC111099041	2.333	0	3.635	1	2	43.153	64.287	108.002	46.439	22.187
LOC111099042	LOC111099042	0	0	0	0	0	0	9	5	2	1
LOC111099043	LOC111099043	28	24	15	4	16	73.114	94.097	95.063	65	51.054
LOC111099044	LOC111099044	1	3	0	0	0	4	5	8	5	3
LOC111099045	LOC111099045	0	10.387	0	0	0	74.878	67.063	149.139	106.741	108.717
LOC111099046	LOC111099046	2	3	1	0	0	25.472	33.929	29.103	33.772	62.893
LOC111099047	LOC111099047	98.642	84.086	40.881	49.712	73.475	163.677	271.671	431.489	311.595	389.249
LOC111099048	LOC111099048	0	0	0	0	0	0	1	0	0	0
LOC111099049	LOC111099049	0	0	0	0	0	0	0	0	0	0
LOC111099050	LOC111099050	44	30	41	7	37	190	254	273	240	255
LOC111099051	LOC111099051	0	0	0	0	0	0	0	0	0	0
LOC111099052	LOC111099052	0	17	25	9	31	0	0	0	0	0
