Sample,Cluster
SRX18040004,0
SRX18040005,0
SRX18040006,0
SRX18040007,0
SRX18040008,0
SRX18040009,0
SRX18040010,0
SRX18040011,0
SRX18040012,0
SRX18040013,0
SRX18040014,0
SRX18040015,0
SRX18040016,0
SRX18040017,0
SRX18040018,0
SRX18040019,0
SRX18040020,0
SRX18040021,0
SRX18040022,0
SRX18040023,0
SRX18040024,0
SRX18040025,0
SRX18040026,0
SRX18040027,0
SRX18040028,0
SRX18040029,0
SRX18040030,0
SRX18040031,0
SRX18040032,0
SRX18040033,0
SRX18040034,0
SRX18040035,0
SRX18040036,0
SRX18040037,0
SRX18040038,0
SRX18040039,0
SRX18040040,0
SRX18040041,0
SRX18040042,0
SRX18040043,0
SRX18040044,0
SRX18040045,0
SRX18040046,0
SRX18040047,0
SRX18040048,0
SRX18040049,0
SRX18040050,0
SRX18040051,0
SRX18040052,0
SRX18040053,0
SRX18040054,0
SRX18040055,0
SRX18040056,0
SRX18040057,0
SRX18040058,0
SRX18040059,0
SRX18040060,0
SRX18040061,0
SRX18040062,0
SRX18040063,0
SRX18040064,0
SRX9845500,0
SRX9845501,0
SRX9845502,0
SRX9845503,0
SRX9845504,0
SRX9845505,0
SRX9845506,0
SRX9845507,0
SRX9845508,0
SRX9845509,0
SRX9845510,0
SRX9845511,0
SRX9845512,0
SRX9845513,0
SRX9845514,0
SRX9845515,0
SRX9845516,0
SRX9845517,0
SRX9845518,0
SRX9845519,0
SRX9845520,0
SRX9845521,0
SRX9845522,0
SRX9845523,0
SRX9845524,0
SRX9845525,0
SRX9845526,0
SRX9845527,0
SRX9845528,0
SRX9845529,0
SRX9845530,0
SRX9845531,0
SRX9845532,0
SRX9845533,0
SRX9845534,0
SRX9845535,0
SRX9845536,0
SRX9845537,0
SRX9845538,0
SRX9845539,0
SRX9845540,0
SRX9845541,0
SRX9845542,0
SRX9845543,0
SRX13037862,0
SRX13037863,0
SRX13037864,0
SRX13037865,0
SRX13037866,0
SRX13037867,0
SRX13037868,0
SRX13037869,0
SRX13037870,0
SRX13037871,0
SRX7172518,0
SRX7172519,0
SRX7172520,0
SRX7172521,0
SRX7172522,0
SRX7172523,0
SRX7172524,0
SRX7172525,0
SRX7172526,0
SRX7172527,0
SRX7172528,0
SRX7172529,0
SRX7172530,0
SRX7172531,0
SRX7172532,0
SRX7172533,0
SRX7172534,0
SRX7172535,0
SRX7172536,0
SRX7172537,0
SRX7172538,0
SRX7172539,0
SRX7172540,0
SRX7172541,0
SRX7172542,0
SRX7172543,0
SRX7172544,0
SRX7172545,0
SRX7172546,0
SRX7172547,0
SRX7172548,0
SRX7172549,0
SRX7172550,0
SRX7172551,0
SRX7172552,0
SRX7172553,0
SRX7172554,0
SRX7172555,0
SRX7172556,0
SRX7172557,0
SRX7172558,0
SRX7172559,0
SRX7172560,0
SRX7172561,0
SRX7172562,0
SRX7172563,0
SRX7172564,0
SRX7172565,0
SRX7172566,0
SRX7172567,0
SRX7172568,0
SRX7172569,0
SRX7172570,0
SRX7172571,0
SRX7172572,0
SRX7172573,0
SRX7172574,0
SRX7172575,0
SRX7172576,0
SRX7172577,0
SRX7172578,0
SRX7172579,0
SRX7656957,1
SRX7656958,1
SRX7656959,1
SRX7656960,1
SRX7656961,1
SRX7656962,1
SRX7656963,1
SRX7656964,1
SRX7656965,1
SRX7656966,1
SRX7656967,1
SRX7656968,1
SRX7656969,1
SRX7656970,1
SRX7656971,1
SRX7656972,1
SRX7656973,1
SRX7656974,1
SRX7656975,1
SRX7656976,1
SRX7656977,1
SRX7656978,1
SRX7656979,1
SRX7656980,1
SRX7656981,1
SRX7656982,1
SRX7656983,1
SRX7656984,1
SRX7656985,1
SRX7656986,1
SRX7656987,1
SRX7656988,1
SRX7656989,1
SRX7656990,1
SRX7656991,1
SRX7656992,1
SRX7656993,1
SRX7656994,1
SRX7656995,1
SRX7656996,1
