,experiment,sample_id,original_sample_id,trait
exp01_SRX18040004,exp01,SRX18040004,SRX18040004,tolerant
exp01_SRX18040005,exp01,SRX18040005,SRX18040005,tolerant
exp01_SRX18040006,exp01,SRX18040006,SRX18040006,tolerant
exp01_SRX18040007,exp01,SRX18040007,SRX18040007,sensitive
exp01_SRX18040008,exp01,SRX18040008,SRX18040008,tolerant
exp01_SRX18040009,exp01,SRX18040009,SRX18040009,tolerant
exp01_SRX18040010,exp01,SRX18040010,SRX18040010,tolerant
exp01_SRX18040011,exp01,SRX18040011,SRX18040011,tolerant
exp01_SRX18040012,exp01,SRX18040012,SRX18040012,tolerant
exp01_SRX18040013,exp01,SRX18040013,SRX18040013,sensitive
exp01_SRX18040014,exp01,SRX18040014,SRX18040014,sensitive
exp01_SRX18040015,exp01,SRX18040015,SRX18040015,sensitive
exp01_SRX18040016,exp01,SRX18040016,SRX18040016,sensitive
exp01_SRX18040017,exp01,SRX18040017,SRX18040017,tolerant
exp01_SRX18040018,exp01,SRX18040018,SRX18040018,tolerant
exp01_SRX18040019,exp01,SRX18040019,SRX18040019,tolerant
exp01_SRX18040020,exp01,SRX18040020,SRX18040020,tolerant
exp01_SRX18040021,exp01,SRX18040021,SRX18040021,sensitive
exp01_SRX18040022,exp01,SRX18040022,SRX18040022,sensitive
exp01_SRX18040023,exp01,SRX18040023,SRX18040023,sensitive
exp01_SRX18040024,exp01,SRX18040024,SRX18040024,sensitive
exp01_SRX18040025,exp01,SRX18040025,SRX18040025,tolerant
exp01_SRX18040026,exp01,SRX18040026,SRX18040026,tolerant
exp01_SRX18040027,exp01,SRX18040027,SRX18040027,tolerant
exp01_SRX18040028,exp01,SRX18040028,SRX18040028,sensitive
exp01_SRX18040029,exp01,SRX18040029,SRX18040029,sensitive
exp01_SRX18040030,exp01,SRX18040030,SRX18040030,sensitive
exp01_SRX18040031,exp01,SRX18040031,SRX18040031,tolerant
exp01_SRX18040032,exp01,SRX18040032,SRX18040032,tolerant
exp01_SRX18040033,exp01,SRX18040033,SRX18040033,tolerant
exp01_SRX18040034,exp01,SRX18040034,SRX18040034,tolerant
exp01_SRX18040035,exp01,SRX18040035,SRX18040035,sensitive
exp01_SRX18040036,exp01,SRX18040036,SRX18040036,tolerant
exp01_SRX18040037,exp01,SRX18040037,SRX18040037,sensitive
exp01_SRX18040038,exp01,SRX18040038,SRX18040038,sensitive
exp01_SRX18040039,exp01,SRX18040039,SRX18040039,sensitive
exp01_SRX18040040,exp01,SRX18040040,SRX18040040,tolerant
exp01_SRX18040041,exp01,SRX18040041,SRX18040041,tolerant
exp01_SRX18040042,exp01,SRX18040042,SRX18040042,tolerant
exp01_SRX18040043,exp01,SRX18040043,SRX18040043,tolerant
exp01_SRX18040044,exp01,SRX18040044,SRX18040044,sensitive
exp01_SRX18040045,exp01,SRX18040045,SRX18040045,sensitive
exp01_SRX18040046,exp01,SRX18040046,SRX18040046,sensitive
exp01_SRX18040047,exp01,SRX18040047,SRX18040047,tolerant
exp01_SRX18040048,exp01,SRX18040048,SRX18040048,tolerant
exp01_SRX18040049,exp01,SRX18040049,SRX18040049,sensitive
exp01_SRX18040050,exp01,SRX18040050,SRX18040050,tolerant
exp01_SRX18040051,exp01,SRX18040051,SRX18040051,sensitive
exp01_SRX18040052,exp01,SRX18040052,SRX18040052,sensitive
exp01_SRX18040053,exp01,SRX18040053,SRX18040053,sensitive
exp01_SRX18040054,exp01,SRX18040054,SRX18040054,sensitive
exp01_SRX18040055,exp01,SRX18040055,SRX18040055,tolerant
exp01_SRX18040056,exp01,SRX18040056,SRX18040056,tolerant
exp01_SRX18040057,exp01,SRX18040057,SRX18040057,sensitive
exp01_SRX18040058,exp01,SRX18040058,SRX18040058,sensitive
exp01_SRX18040059,exp01,SRX18040059,SRX18040059,sensitive
exp01_SRX18040060,exp01,SRX18040060,SRX18040060,sensitive
exp01_SRX18040061,exp01,SRX18040061,SRX18040061,sensitive
exp01_SRX18040062,exp01,SRX18040062,SRX18040062,sensitive
exp01_SRX18040063,exp01,SRX18040063,SRX18040063,tolerant
exp01_SRX18040064,exp01,SRX18040064,SRX18040064,tolerant
exp02_SRX7656957,exp02,SRX7656957,SRX7656957,tolerant
exp02_SRX7656958,exp02,SRX7656958,SRX7656958,tolerant
exp02_SRX7656959,exp02,SRX7656959,SRX7656959,tolerant
exp02_SRX7656960,exp02,SRX7656960,SRX7656960,tolerant
exp02_SRX7656961,exp02,SRX7656961,SRX7656961,tolerant
exp02_SRX7656962,exp02,SRX7656962,SRX7656962,sensitive
exp02_SRX7656963,exp02,SRX7656963,SRX7656963,sensitive
exp02_SRX7656964,exp02,SRX7656964,SRX7656964,sensitive
exp02_SRX7656965,exp02,SRX7656965,SRX7656965,sensitive
exp02_SRX7656966,exp02,SRX7656966,SRX7656966,sensitive
exp02_SRX7656967,exp02,SRX7656967,SRX7656967,sensitive
exp02_SRX7656968,exp02,SRX7656968,SRX7656968,sensitive
exp02_SRX7656969,exp02,SRX7656969,SRX7656969,tolerant
exp02_SRX7656970,exp02,SRX7656970,SRX7656970,tolerant
exp02_SRX7656971,exp02,SRX7656971,SRX7656971,tolerant
exp02_SRX7656972,exp02,SRX7656972,SRX7656972,tolerant
exp02_SRX7656973,exp02,SRX7656973,SRX7656973,tolerant
exp02_SRX7656974,exp02,SRX7656974,SRX7656974,tolerant
exp02_SRX7656975,exp02,SRX7656975,SRX7656975,tolerant
