gene_id	gene_name	pval
LOC111125640	LOC111125640	2.091841387978498e-13
LOC111132066	LOC111132066	4.080058487497741e-12
LOC111137561	LOC111137561	5.920566227887005e-12
LOC111103931	LOC111103931	8.378336858019299e-12
LOC111119721	LOC111119721	8.794108187460788e-12
LOC111135561	LOC111135561	9.072292011651563e-12
LOC111135567	LOC111135567	1.233577400441101e-11
LOC111099849	LOC111099849	1.466803487753339e-11
LOC111106049	LOC111106049	1.4853324773984852e-11
LOC111121135	LOC111121135	5.240522024438386e-11
LOC111126131	LOC111126131	8.932525344244969e-11
LOC111129069	LOC111129069	9.456231075620286e-11
LOC111130170	LOC111130170	1.064082333120663e-10
LOC111119957	LOC111119957	1.1035673765122402e-10
LOC111137398	LOC111137398	1.485392622231542e-10
LOC111133512	LOC111133512	1.5240590239975506e-10
LOC111113400	LOC111113400	2.445122056684201e-10
LOC111128410	LOC111128410	3.618383924475836e-10
LOC111118133	LOC111118133	3.837176970864544e-10
LOC111132333	LOC111132333	7.452541000768819e-10
LOC111130560	LOC111130560	8.778315220115252e-10
LOC111128863	LOC111128863	9.414370764101625e-10
LOC111124505	LOC111124505	1.0334429712036484e-09
LOC111120691	LOC111120691	1.095861394124492e-09
LOC111121372	LOC111121372	1.4174573088973523e-09
LOC111110276	LOC111110276	2.1830582130783847e-09
LOC111127658	LOC111127658	2.246044886018182e-09
LOC111115452	LOC111115452	2.3918761131362822e-09
LOC111102730	LOC111102730	2.49513967482593e-09
LOC111133465	LOC111133465	3.1207804631918617e-09
LOC111103262	LOC111103262	3.23854607208459e-09
LOC111125051	LOC111125051	3.8607062107343845e-09
LOC111120632	LOC111120632	4.164485803762993e-09
LOC111114987	LOC111114987	4.7625452878222164e-09
LOC111124492	LOC111124492	4.912875257997198e-09
LOC111125313	LOC111125313	5.015199893078653e-09
LOC111133168	LOC111133168	5.394265955355329e-09
LOC111107425	LOC111107425	5.6320586429089025e-09
LOC111105882	LOC111105882	6.663551281496797e-09
LOC111133836	LOC111133836	7.62825641113739e-09
LOC111114634	LOC111114634	7.877334617390881e-09
LOC111100103	LOC111100103	9.519101030052912e-09
LOC111119635	LOC111119635	9.74649945990295e-09
LOC111117085	LOC111117085	9.96785974873846e-09
LOC111100118	LOC111100118	1.0041755448431856e-08
LOC111117760	LOC111117760	1.0886732230503795e-08
LOC111101722	LOC111101722	1.2079221333681052e-08
LOC111135441	LOC111135441	1.2762827545157409e-08
LOC111125690	LOC111125690	1.2808442209592433e-08
LOC111116942	LOC111116942	1.4276779662238683e-08
LOC111101754	LOC111101754	1.5733235103793586e-08
LOC111123021	LOC111123021	1.6594988675232504e-08
LOC111126363	LOC111126363	1.714229489254449e-08
LOC111110962	LOC111110962	1.772175514862858e-08
LOC111126622	LOC111126622	1.8253201377060967e-08
LOC111118285	LOC111118285	2.1249033526512065e-08
LOC111102353	LOC111102353	2.137654006991611e-08
LOC111122705	LOC111122705	3.0433613419183125e-08
LOC111105520	LOC111105520	3.217777556769848e-08
LOC111101621	LOC111101621	3.2706146978781824e-08
LOC111101789	LOC111101789	3.480358351539837e-08
LOC111107577	LOC111107577	3.4870637887366785e-08
LOC111116708	LOC111116708	3.708451113771706e-08
LOC111108144	LOC111108144	3.802386809696878e-08
LOC111110104	LOC111110104	3.9495450987936364e-08
LOC111133264	LOC111133264	4.1094899810740917e-08
LOC111125316	LOC111125316	4.308076547371523e-08
LOC111122487	LOC111122487	4.407566103591033e-08
LOC111135299	LOC111135299	4.5474388144014407e-08
LOC111099680	LOC111099680	4.57957792099551e-08
LOC111120066	LOC111120066	4.9451862341929235e-08
LOC111133640	LOC111133640	5.298888709719066e-08
LOC111136546	LOC111136546	5.329491790482877e-08
LOC111100256	LOC111100256	5.3635793789098185e-08
LOC111134390	LOC111134390	5.399602076561898e-08
LOC111105803	LOC111105803	5.404640487575326e-08
LOC111136160	LOC111136160	5.6757813206950446e-08
LOC111127410	LOC111127410	5.8101273482041225e-08
LOC111100631	LOC111100631	5.826107034889074e-08
LOC111134033	LOC111134033	5.9252935337410794e-08
LOC111104102	LOC111104102	6.482942371294626e-08
LOC111100483	LOC111100483	7.249709105234529e-08
LOC111112850	LOC111112850	7.897200283325626e-08
LOC111125088	LOC111125088	7.897564006673298e-08
LOC111129956	LOC111129956	8.213828680861243e-08
LOC111137449	LOC111137449	8.552440250151138e-08
LOC111117144	LOC111117144	8.618851121762532e-08
LOC111122527	LOC111122527	9.318602907033764e-08
LOC111128317	LOC111128317	9.563248054248365e-08
LOC111133620	LOC111133620	9.631948718888215e-08
LOC111106474	LOC111106474	1.022298656046401e-07
LOC111114926	LOC111114926	1.0317289766497013e-07
LOC111121182	LOC111121182	1.1297882017250933e-07
LOC111131830	LOC111131830	1.1378593876917402e-07
LOC111101652	LOC111101652	1.1430242455243919e-07
LOC111130277	LOC111130277	1.1830117084813204e-07
LOC111132570	LOC111132570	1.1978273212574716e-07
LOC111105752	LOC111105752	1.255594412592977e-07
LOC111124800	LOC111124800	1.3316581539671106e-07
